Frequency;CurrentSet;Current;Voltage Drop;Crack size
30.0;200.0;5013.0;3869.0;0.0
30.0;200.0;5013.0;3870.0;0.0
30.0;200.0;5014.0;3869.0;0.0
30.0;200.0;5014.0;3869.0;0.0
30.0;200.0;5011.0;3869.0;0.0
30.0;200.0;5016.0;3870.0;0.0
30.0;200.0;5015.0;3869.0;0.0
30.0;200.0;5015.0;3868.0;0.0
30.0;200.0;5014.0;3867.0;0.0
30.0;200.0;5013.0;3867.0;0.0
30.0;200.0;5015.0;3869.0;0.0
30.0;200.0;5015.0;3868.0;0.0
30.0;200.0;5015.0;3868.0;0.0
30.0;200.0;5014.0;3868.0;0.0
30.0;200.0;5016.0;3869.0;0.0
30.0;200.0;5015.0;3867.0;0.0
30.0;200.0;5014.0;3868.0;0.0
30.0;200.0;5013.0;3867.0;0.0
30.0;200.0;5014.0;3869.0;0.0
30.0;200.0;5015.0;3869.0;0.0
30.0;200.0;5015.0;3868.0;0.0
30.0;200.0;5014.0;3867.0;0.0
30.0;200.0;5012.0;3868.0;0.0
30.0;200.0;5015.0;3868.0;0.0
30.0;200.0;5016.0;3868.0;0.0
30.0;200.0;5015.0;3867.0;0.0
30.0;200.0;5016.0;3868.0;0.0
30.0;200.0;5013.0;3867.0;0.0
30.0;200.0;5013.0;3868.0;0.0
30.0;200.0;5016.0;3866.0;0.0
30.0;200.0;5016.0;3867.0;0.0
30.0;200.0;5014.0;3867.0;0.0
30.0;200.0;5013.0;3868.0;0.0
30.0;200.0;5015.0;3866.0;0.0
30.0;200.0;5016.0;3867.0;0.0
30.0;200.0;5016.0;3867.0;0.0
30.0;200.0;5016.0;3867.0;0.0
30.0;200.0;5012.0;3866.0;0.0
30.0;200.0;5017.0;3866.0;0.0
30.0;250.0;8895.0;4818.0;0.0
30.0;250.0;8898.0;4818.0;0.0
30.0;250.0;8895.0;4817.0;0.0
30.0;250.0;8897.0;4818.0;0.0
30.0;250.0;8899.0;4819.0;0.0
30.0;250.0;8899.0;4818.0;0.0
30.0;250.0;8898.0;4820.0;0.0
30.0;250.0;8899.0;4819.0;0.0
30.0;250.0;8896.0;4820.0;0.0
30.0;250.0;8895.0;4821.0;0.0
30.0;250.0;8896.0;4820.0;0.0
30.0;250.0;8897.0;4820.0;0.0
30.0;250.0;8894.0;4820.0;0.0
30.0;250.0;8896.0;4821.0;0.0
30.0;250.0;8898.0;4824.0;0.0
30.0;250.0;8896.0;4824.0;0.0
30.0;250.0;8897.0;4825.0;0.0
30.0;250.0;8897.0;4823.0;0.0
30.0;250.0;8896.0;4823.0;0.0
30.0;250.0;8897.0;4822.0;0.0
30.0;250.0;8893.0;4822.0;0.0
30.0;250.0;8898.0;4821.0;0.0
30.0;250.0;8898.0;4823.0;0.0
30.0;250.0;8897.0;4823.0;0.0
30.0;250.0;8895.0;4822.0;0.0
30.0;250.0;8897.0;4823.0;0.0
30.0;250.0;8898.0;4823.0;0.0
30.0;250.0;8897.0;4823.0;0.0
30.0;250.0;8895.0;4821.0;0.0
30.0;250.0;8897.0;4821.0;0.0
30.0;250.0;8897.0;4822.0;0.0
30.0;250.0;8892.0;4821.0;0.0
30.0;250.0;8896.0;4823.0;0.0
30.0;250.0;8891.0;4825.0;0.0
30.0;250.0;8896.0;4828.0;0.0
30.0;250.0;8899.0;4831.0;0.0
30.0;250.0;8898.0;4836.0;0.0
30.0;250.0;8898.0;4837.0;0.0
30.0;250.0;8896.0;4835.0;0.0
30.0;250.0;8896.0;4835.0;0.0
30.0;250.0;8898.0;4835.0;0.0
30.0;250.0;8892.0;4833.0;0.0
30.0;250.0;8899.0;4833.0;0.0
30.0;250.0;8895.0;4833.0;0.0
30.0;250.0;8900.0;4833.0;0.0
30.0;250.0;8895.0;4832.0;0.0
30.0;250.0;8898.0;4831.0;0.0
30.0;250.0;8897.0;4830.0;0.0
30.0;250.0;8895.0;4830.0;0.0
30.0;250.0;8896.0;4828.0;0.0
30.0;250.0;8896.0;4829.0;0.0
30.0;250.0;8895.0;4828.0;0.0
30.0;250.0;8894.0;4827.0;0.0
30.0;250.0;8894.0;4828.0;0.0
30.0;250.0;8896.0;4830.0;0.0
30.0;250.0;8895.0;4830.0;0.0
30.0;250.0;8897.0;4830.0;0.0
30.0;250.0;8895.0;4830.0;0.0
30.0;250.0;8898.0;4831.0;0.0
30.0;250.0;8894.0;4830.0;0.0
30.0;250.0;8895.0;4832.0;0.0
30.0;250.0;8897.0;4832.0;0.0
30.0;250.0;8897.0;4832.0;0.0
30.0;250.0;8896.0;4830.0;0.0
30.0;250.0;8898.0;4830.0;0.0
30.0;250.0;8896.0;4831.0;0.0
30.0;250.0;8897.0;4831.0;0.0
30.0;250.0;8897.0;4830.0;0.0
30.0;250.0;8896.0;4832.0;0.0
30.0;250.0;8895.0;4840.0;0.0
30.0;250.0;8896.0;4845.0;0.0
30.0;250.0;8899.0;4845.0;0.0
30.0;250.0;8899.0;4842.0;0.0
30.0;250.0;8897.0;4838.0;0.0
30.0;250.0;8894.0;4835.0;0.0
30.0;250.0;8897.0;4833.0;0.0
30.0;250.0;8896.0;4831.0;0.0
30.0;250.0;8897.0;4830.0;0.0
30.0;250.0;8895.0;4829.0;0.0
30.0;250.0;8897.0;4830.0;0.0
30.0;250.0;8895.0;4831.0;0.0
30.0;250.0;8896.0;4833.0;0.0
30.0;250.0;8898.0;4835.0;0.0
30.0;250.0;8898.0;4838.0;0.0
30.0;250.0;8897.0;4838.0;0.0
30.0;250.0;8898.0;4837.0;0.0
30.0;250.0;8895.0;4836.0;0.0
30.0;250.0;8897.0;4835.0;0.0
30.0;250.0;8895.0;4833.0;0.0
30.0;250.0;8894.0;4831.0;0.0
30.0;250.0;8895.0;4830.0;0.0
30.0;250.0;8892.0;4828.0;0.0
30.0;250.0;8900.0;4828.0;0.0
30.0;250.0;8896.0;4826.0;0.0
30.0;250.0;8895.0;4827.0;0.0
30.0;250.0;8897.0;4827.0;0.0
30.0;300.0;12740.0;5673.0;0.0
30.0;300.0;12742.0;5672.0;0.0
30.0;300.0;12739.0;5673.0;0.0
30.0;300.0;12742.0;5672.0;0.0
30.0;300.0;12737.0;5671.0;0.0
30.0;300.0;12741.0;5672.0;0.0
30.0;300.0;12739.0;5672.0;0.0
30.0;300.0;12740.0;5672.0;0.0
30.0;300.0;12738.0;5672.0;0.0
30.0;300.0;12741.0;5671.0;0.0
30.0;300.0;12739.0;5671.0;0.0
30.0;300.0;12739.0;5671.0;0.0
30.0;300.0;12739.0;5671.0;0.0
30.0;300.0;12738.0;5671.0;0.0
30.0;300.0;12741.0;5670.0;0.0
30.0;300.0;12740.0;5671.0;0.0
30.0;300.0;12741.0;5670.0;0.0
30.0;300.0;12737.0;5671.0;0.0
30.0;300.0;12741.0;5671.0;0.0
30.0;300.0;12742.0;5671.0;0.0
30.0;300.0;12740.0;5670.0;0.0
30.0;300.0;12739.0;5670.0;0.0
30.0;300.0;12737.0;5670.0;0.0
30.0;300.0;12740.0;5670.0;0.0
30.0;300.0;12738.0;5671.0;0.0
30.0;300.0;12738.0;5670.0;0.0
30.0;300.0;12739.0;5672.0;0.0
30.0;300.0;12738.0;5672.0;0.0
30.0;300.0;12740.0;5672.0;0.0
30.0;300.0;12741.0;5673.0;0.0
30.0;300.0;12739.0;5673.0;0.0
30.0;300.0;12738.0;5672.0;0.0
30.0;300.0;12741.0;5675.0;0.0
30.0;300.0;12739.0;5677.0;0.0
30.0;300.0;12742.0;5678.0;0.0
30.0;300.0;12740.0;5677.0;0.0
30.0;300.0;12739.0;5676.0;0.0
30.0;300.0;12739.0;5676.0;0.0
30.0;300.0;12737.0;5678.0;0.0
30.0;300.0;12737.0;5680.0;0.0
30.0;300.0;12738.0;5684.0;0.0
30.0;300.0;12739.0;5686.0;0.0
30.0;300.0;12738.0;5687.0;0.0
30.0;300.0;12740.0;5689.0;0.0
30.0;300.0;12738.0;5687.0;0.0
30.0;300.0;12741.0;5691.0;0.0
30.0;300.0;12738.0;5690.0;0.0
30.0;300.0;12738.0;5692.0;0.0
30.0;300.0;12743.0;5694.0;0.0
30.0;300.0;12740.0;5694.0;0.0
30.0;300.0;12739.0;5696.0;0.0
30.0;300.0;12741.0;5700.0;0.0
30.0;300.0;12741.0;5700.0;0.0
30.0;300.0;12741.0;5700.0;0.0
30.0;300.0;12740.0;5701.0;0.0
30.0;300.0;12739.0;5701.0;0.0
30.0;300.0;12740.0;5701.0;0.0
30.0;300.0;12740.0;5701.0;0.0
30.0;300.0;12740.0;5702.0;0.0
30.0;300.0;12738.0;5708.0;0.0
30.0;300.0;12737.0;5717.0;0.0
30.0;300.0;12737.0;5723.0;0.0
30.0;300.0;12737.0;5726.0;0.0
30.0;300.0;12739.0;5727.0;0.0
30.0;300.0;12739.0;5725.0;0.0
30.0;300.0;12738.0;5723.0;0.0
30.0;300.0;12743.0;5720.0;0.0
30.0;300.0;12740.0;5718.0;0.0
30.0;300.0;12738.0;5717.0;0.0
30.0;300.0;12740.0;5717.0;0.0
30.0;300.0;12739.0;5716.0;0.0
30.0;300.0;12740.0;5716.0;0.0
30.0;300.0;12738.0;5715.0;0.0
30.0;300.0;12738.0;5714.0;0.0
30.0;300.0;12739.0;5711.0;0.0
30.0;300.0;12738.0;5713.0;0.0
30.0;300.0;12740.0;5713.0;0.0
30.0;300.0;12746.0;5713.0;0.0
30.0;300.0;12744.0;5712.0;0.0
30.0;300.0;12741.0;5711.0;0.0
30.0;300.0;12738.0;5708.0;0.0
30.0;300.0;12741.0;5708.0;0.0
30.0;300.0;12740.0;5707.0;0.0
30.0;300.0;12740.0;5707.0;0.0
30.0;300.0;12740.0;5707.0;0.0
30.0;300.0;12738.0;5706.0;0.0
30.0;300.0;12738.0;5708.0;0.0
30.0;300.0;12740.0;5709.0;0.0
30.0;300.0;12738.0;5709.0;0.0
30.0;300.0;12735.0;5710.0;0.0
30.0;320.0;14030.0;6008.0;0.0
30.0;320.0;14032.0;6011.0;0.0
30.0;320.0;14027.0;6008.0;0.0
30.0;320.0;14027.0;6006.0;0.0
30.0;320.0;14032.0;6005.0;0.0
30.0;320.0;14030.0;6004.0;0.0
30.0;320.0;14031.0;6005.0;0.0
30.0;320.0;14028.0;6000.0;0.0
30.0;320.0;14027.0;5995.0;0.0
30.0;320.0;14022.0;5991.0;0.0
30.0;320.0;14036.0;5992.0;0.0
30.0;320.0;14035.0;5993.0;0.0
30.0;320.0;14029.0;5993.0;0.0
30.0;320.0;14024.0;5991.0;0.0
30.0;320.0;14025.0;5988.0;0.0
30.0;320.0;14034.0;5989.0;0.0
30.0;320.0;14029.0;5990.0;0.0
30.0;320.0;14031.0;5990.0;0.0
30.0;320.0;14025.0;5988.0;0.0
30.0;320.0;14026.0;5982.0;0.0
30.0;320.0;14019.0;5979.0;0.0
30.0;320.0;14028.0;5977.0;0.0
30.0;320.0;14040.0;5980.0;0.0
30.0;320.0;14034.0;5979.0;0.0
30.0;320.0;14033.0;5980.0;0.0
30.0;320.0;14033.0;5981.0;0.0
30.0;320.0;14031.0;5979.0;0.0
30.0;320.0;14025.0;5976.0;0.0
30.0;320.0;14013.0;5972.0;0.0
30.0;320.0;14036.0;5975.0;0.0
30.0;320.0;14032.0;5974.0;0.0
30.0;320.0;14028.0;5972.0;0.0
30.0;320.0;14027.0;5971.0;0.0
30.0;320.0;14028.0;5971.0;0.0
30.0;320.0;14028.0;5970.0;0.0
30.0;320.0;14033.0;5971.0;0.0
30.0;320.0;14038.0;5971.0;0.0
30.0;320.0;14042.0;5973.0;0.0
30.0;320.0;14035.0;5973.0;0.0
30.0;320.0;14032.0;5973.0;0.0
30.0;320.0;14034.0;5971.0;0.0
30.0;320.0;14029.0;5971.0;0.0
30.0;320.0;14032.0;5971.0;0.0
30.0;320.0;14033.0;5970.0;0.0
30.0;320.0;14028.0;5970.0;0.0
30.0;320.0;14031.0;5971.0;0.0
30.0;320.0;14032.0;5970.0;0.0
30.0;320.0;14029.0;5969.0;0.0
30.0;320.0;14031.0;5967.0;0.0
30.0;320.0;14032.0;5969.0;0.0
30.0;320.0;14031.0;5970.0;0.0
30.0;320.0;14024.0;5967.0;0.0
30.0;320.0;14030.0;5967.0;0.0
30.0;320.0;14036.0;5970.0;0.0
30.0;320.0;14036.0;5971.0;0.0
30.0;320.0;14034.0;5971.0;0.0
30.0;320.0;14030.0;5971.0;0.0
30.0;320.0;14030.0;5971.0;0.0
30.0;320.0;14034.0;5970.0;0.0
30.0;320.0;14035.0;5970.0;0.0
30.0;320.0;14030.0;5970.0;0.0
30.0;320.0;14028.0;5970.0;0.0
30.0;320.0;14034.0;5971.0;0.0
30.0;320.0;14032.0;5971.0;0.0
30.0;320.0;14033.0;5973.0;0.0
30.0;320.0;14032.0;5974.0;0.0
30.0;320.0;14032.0;5974.0;0.0
30.0;320.0;14032.0;5975.0;0.0
30.0;320.0;14027.0;5976.0;0.0
30.0;320.0;14036.0;5975.0;0.0
30.0;320.0;14034.0;5976.0;0.0
30.0;320.0;14029.0;5976.0;0.0
30.0;320.0;14028.0;5975.0;0.0
30.0;320.0;14035.0;5977.0;0.0
30.0;320.0;14029.0;5976.0;0.0
30.0;320.0;14032.0;5976.0;0.0
30.0;320.0;14032.0;5978.0;0.0
30.0;320.0;14031.0;5979.0;0.0
30.0;320.0;14033.0;5978.0;0.0
30.0;320.0;14031.0;5979.0;0.0
30.0;320.0;14035.0;5978.0;0.0
30.0;320.0;14033.0;5979.0;0.0
30.0;320.0;14025.0;5977.0;0.0
30.0;320.0;14029.0;5978.0;0.0
30.0;320.0;14032.0;5979.0;0.0
30.0;320.0;14030.0;5982.0;0.0
30.0;320.0;14029.0;5984.0;0.0
30.0;320.0;14032.0;5987.0;0.0
30.0;320.0;14029.0;5988.0;0.0
30.0;320.0;14031.0;5989.0;0.0
30.0;320.0;14030.0;5989.0;0.0
30.0;320.0;14034.0;5991.0;0.0
30.0;320.0;14032.0;5990.0;0.0
30.0;320.0;14029.0;5989.0;0.0
30.0;320.0;14031.0;5991.0;0.0
30.0;320.0;14033.0;5988.0;0.0
30.0;100.0;99.0;216.0;0.5
30.0;100.0;100.0;309.0;0.5
30.0;100.0;101.0;408.0;0.5
30.0;100.0;105.0;513.0;0.5
30.0;100.0;112.0;620.0;0.5
30.0;100.0;118.0;724.0;0.5
30.0;100.0;125.0;816.0;0.5
30.0;100.0;130.0;897.0;0.5
30.0;100.0;135.0;968.0;0.5
30.0;100.0;140.0;1029.0;0.5
30.0;100.0;143.0;1085.0;0.5
30.0;100.0;144.0;1136.0;0.5
30.0;100.0;146.0;1181.0;0.5
30.0;100.0;147.0;1226.0;0.5
30.0;100.0;149.0;1268.0;0.5
30.0;100.0;150.0;1310.0;0.5
30.0;100.0;151.0;1350.0;0.5
30.0;100.0;150.0;1389.0;0.5
30.0;100.0;151.0;1426.0;0.5
30.0;100.0;152.0;1463.0;0.5
30.0;100.0;151.0;1497.0;0.5
30.0;100.0;153.0;1530.0;0.5
30.0;100.0;153.0;1563.0;0.5
30.0;100.0;155.0;1594.0;0.5
30.0;100.0;156.0;1622.0;0.5
30.0;100.0;157.0;1650.0;0.5
30.0;100.0;157.0;1673.0;0.5
30.0;100.0;159.0;1695.0;0.5
30.0;100.0;160.0;1716.0;0.5
